Pregunta,Respuesta
Què passa si un alumne no realitza la matrícula en CFGM dins del període establert?,"Perdrà la plaça assignada."
Què succeeix si no estàs inclòs a les llistes d'admesos en la primera fase d’admissió de de CFGM?,"Hauràs d’estar al cas per a demanar les places per la segona fase d’admissió."
Què passa si no tinc plaça en la segona fase d’admissió?,"S'ha de completar un formulari i el centre informarà si hi ha vacants disponibles després del període oficial de preinscripció i matrícula a CFGM el 6 de setembre."
Quins són els criteris de prioritat per a l'accés a CFGM segons la nova llei de Formació Professional?,"En general, es considera la qualificació mitjana obtinguda del requisit que permet l'accés."
Quins són els criteris de prioritat per a l'accés al cicle formatiu de grau superior segons la nova llei de Formació Professional?,"En general, es considera la qualificació mitjana obtinguda del requisit que permet l'accés."
Quina és la política d'ordenació i assignació de places per als cicles formatius de grau mitjà (CFPM) i grau superior (CFPS)?,"La política d'ordenació i assignació de places per als CFGM i CFGS es basa principalment en la qualificació mitjana dels sol·licitants."
Què passa si no he fet preinscripció?,"Podràs participar en la segona fase d’admissió de vacants."
Quin és el procediment si un estudiant té dificultats per completar la preinscripció en línia de CFGM o CFGS?,"Pot passar pel centre del 25 al 30 de maig de 12:00 a 14:00 hores."
Quin és el preu de matrícula de CFGM?,"El preu de material, serveis i assegurança per a tot el curs és de 60 €."
quin serveis inclou el preu de matrícula?,"Internet, programari Office 365, entorn virtual d’aprenentatge,...."
Quin és el procediment en cas de tenir dificultats per completar la preinscripció en línia?,"Es pot passar pel centre del 22 al 25 d’abril de 12:00 a 14:00 hores."
Quin és el preu total del curs per als menors de 28 anys?,"El preu de material, serveis i assegurança per a tot el curs és de 60 €."
Quin és el preu de matrícula de CFGS?,"El preu de material, serveis i assegurança per a tot el curs és de 60 € i 360 € de preu públic sense bonificacions."
Quines bonificacions hi ha en CFGS?,"Bonificació del 50% de l'importper a: membres de família nombrosa de categoria general i membres de famílies monoparentals. Exempció del 100% del pagament per a: membres de família nombrosa de categoria especial, víctimes del terrorisme (i els seus cònjuges i els seus fills i filles), persones amb discapacitat igual o superior al 33% i infants o adolescents en acolliment familiar."
Quina bonificació hi ha en el preu de matrícula de CFGM?,"No hi ha bonificació."
Quina bonificació hi ha en el preu de matrícula de Batxillerat?,"No hi ha bonificació."
Quins són els criteris de prioritat per a l'assignació de plaça en els cursos d’especialització?,"La qualificació mitjana del cicle de formació professional que permet l'accés."
Què passa en cas d'empat en les puntuacions dels alumnes dels cursos d’especialització?,"Es realitza un sorteig desempat a Secretaria el dia 5 de juliol de 2024 a les 13:00 hores."
És posible fer mobilitat internacional?,"Sí, en tots els estudis de CFGM i CFGS."
És posible fer DUAL?,"Sí, en tots els estudis de CFGM i CFGS."
Quines són les tres vies d'accés al cicle formatiu de grau mitjà?,"ESO i el tècnic de grau bàsic d'FP (80%), CAM i proves d'accés a grau mitjà (15%), Tècnic de grau mitjà i superior d'FP (5%)."
Quines són les vies d’accés a CFGS?,"Del batxillerat i el tècnic de grau mitjà d'FP (80%), CAS i proves d'accés a grau superior (15%), Tècnic superior d'FP (5%)."
