Pregunta,Respuesta
Período de presentación de solicitudes para CFGM,"Del 24 al 30 de mayo de 2024."
¿Cuándo se publicará la lista provisional de solicitudes admitidas y excluidas para CFGM?,"El 28 de junio de 2024."
¿Cuándo se abrirá el período para presentar reclamaciones sobre las solicitudes de CFGM?,"Del 28 de junio al 3 de julio de 2024."
¿Cuál es el período de matrícula para los alumnos preinscritos en CFGM con plaza asignada?,"Del 17 al 22 de julio de 2024."
¿Cuándo se publicará la lista de admitidos en la segunda fase de admisión de CFGM?,"El 31 de julio de 2024."
¿Cuál es el período de matrícula para la segunda fase de admisión de CFGM?,"Del 2 al 6 de septiembre de 2024."
¿Cuál es el plazo para presentar las solicitudes de preinscripción para los CFGS?,"Del 24 al 30 de mayo de 2024."
¿Cuál es el plazo de matrícula para los alumnos preinscritos con plaza asignada de CFGS?,"Del 15 al 18 de julio de 2024."
¿Cuándo se publicará la lista de solicitudes con la puntuación provisional de CFGS?,"El 26 de junio de 2024."
¿Cuál es el plazo para presentar reclamaciones sobre la puntuación provisional de CFGS?,"Del 26 de junio al 1 de julio de 2024."
¿Cuándo se publicará la lista definitiva de solicitudes con la puntuación de CFGS?,"El 4 de julio de 2024."
¿Cuándo se publicará la lista de alumnos admitidos de CFGS?,"El 11 de julio de 2024."
¿Cuándo se publicará la lista de admitidos para la segunda fase de admisión de CFGS?,"El 31 de julio de 2024."
¿Cuál es el plazo de matrícula para la segunda fase de admisión de los alumnos preinscritos en CFGS?,"Del 2 al 6 de septiembre de 2024."
¿Cuál es el plazo para presentar las solicitudes de preinscripción para el Bachillerato?,"Del 18 al 25 de abril de 2024."
¿Cuál es el plazo de matrícula para los alumnos preinscritos con plaza asignada en el Bachillerato?,"Del 21 de junio al 1 de julio de 2024."
¿Cuándo se publicará la lista de solicitudes con la puntuación provisional del Bachillerato?,"El 17 de mayo de 2024."
¿Cuál es el plazo para presentar reclamaciones sobre la puntuación provisional del Bachillerato?,"Del 17 al 23 de mayo de 2024."
¿Cuándo se publicará la lista definitiva de solicitudes con la puntuación del Bachillerato?,"El 29 de mayo de 2024."
¿Cuándo se publicará la lista de alumnos admitidos en el Bachillerato?,"El 20 de junio de 2024."
¿Cuál es el período de presentación de solicitudes para los cursos de especialización?,"Del 28 de junio al 4 de julio de 2024, de 12:00 a 13:00 horas."
¿Cuándo se publicará la lista provisional de admitidos de los cursos de especialización?,"El 5 de julio de 2024."
¿Cuál es el plazo para presentar reclamaciones sobre la lista provisional de admitidos?,"Del 5 al 10 de julio de 2024, hasta las 13:00 horas."
¿Cuándo se publicará la lista definitiva de admitidos?,"El 10 de julio de 2024, a las 16:00 horas."
¿Cuál es el plazo para la matrícula presencial en los cursos de especialización?,"Del 10 al 15 de julio de 2024, de 12:00 a 13:00 horas."
