Pregunta,Respuesta
What happens if a student does not complete the enrollment in CFGM within the established period?,"They will lose the assigned place."
What happens if you are not included in the admission lists in the first phase of admission to CFGM?,"You will need to stay informed to apply for places in the second phase of admission."
What happens if I do not have a place in the second phase of admission?,"You must complete a form, and the center will inform if there are vacancies available after the official period of pre-registration and enrollment in CFGM on September 6th."
What are the priority criteria for access to CFGM according to the new Vocational Training Law?,"Generally, the average qualification obtained from the requirement that allows access is considered."
What are the priority criteria for access to the higher-level training cycle according to the new Vocational Training Law?,"Generally, the average qualification obtained from the requirement that allows access is considered."
What is the policy for ordering and assigning places for intermediate (CFPM) and higher (CFPS) vocational training cycles?,"The policy for ordering and assigning places for CFGM and CFGS is primarily based on the average qualification of applicants."
What happens if I have not made pre-registration?,"You can participate in the second phase of admission for vacancies."
What is the procedure if a student has difficulty completing the online pre-registration for CFGM or CFGS?,"They can visit the center from May 25th to 30th from 12:00 to 14:00."
What is the enrollment fee for CFGM?,"The fee for materials, services, and insurance for the entire course is €60."
What services are included in the enrollment fee?,"Internet, Office 365 software, virtual learning environment, etc."
What is the procedure in case of having difficulty completing the online pre-registration?,"You can visit the center from April 22nd to 25th from 12:00 to 14:00."
What is the total course fee for those under 28 years old?,"The fee for materials, services, and insurance for the entire course is €60."
What is the enrollment fee for CFGS?,"The fee for materials, services, and insurance for the entire course is €60, and €360 of public price without discounts."
What discounts are available for CFGS?,"50% discount on the amount for: large family members of general category and single-parent families. 100% exemption from payment for: large family members of special category, victims of terrorism (and their spouses and children), people with disabilities equal to or greater than 33%, and children or adolescents in foster care."
What discount is available for the enrollment fee of CFGM?,"There is no discount."
What discount is available for the enrollment fee of Baccalaureate?,"There is no discount."
What are the priority criteria for the allocation of places in specialization courses?,"The average qualification of the vocational training cycle that allows access."
What happens in case of a tie in the scores of students in specialization courses?,"A tiebreaker draw is held at the Secretary's Office on July 5th, 2024, at 1:00 PM."
Is international mobility possible?,"Yes, in all CFGM and CFGS studies."
Is DUAL possible?,"Yes, in all CFGM and CFGS studies."
What are the three access paths to the intermediate-level training cycle?,"ESO and basic vocational training (80%), CAM and access tests to intermediate level (15%), Intermediate and higher vocational training (5%)."
What are the access paths to CFGS?,"From baccalaureate and intermediate vocational training (80%), CAS and access tests to higher level (15%), Higher vocational training (5%)."
