Pregunta,Respuesta
What documentation is required to formalize enrollment in CFGM?,"ID card-sized photograph, copy of ID/NIE+passport, copy of health card, proof of ESO diploma or other documents for access to CFGM, among others."
What documentation is necessary to formalize enrollment in a CFGS?,"ID card-sized photograph, copy of ID, NIE+passport, health card, among others."
What documentation is needed to formalize enrollment in Baccalaureate?,"ID card-sized photograph, copy of ID, NIE+passport, health card, proof of ESO diploma, among others."
What documentation is required to formalize enrollment in specialization courses?,"ID card-sized photograph, copy of health card, and proof of payment of enrollment fee."
What documents are required to formalize enrollment in a Vocational Training Course of Middle Grade (CFGM)?,"Passport-sized photograph, copy of ID/NIE + passport, copy of health insurance card, proof of completion of ESO or other documents for access to CFGM, among others."
What documentation is necessary to formalize enrollment in a Vocational Training Course of Higher Grade (CFGS)?,"Passport-sized photograph, copy of ID, NIE + passport, health insurance card, among others."
What paperwork is needed to formalize enrollment in Bachillerato (High School)?,"Passport-sized photograph, copy of ID, NIE + passport, health insurance card, proof of completion of ESO, among others."
What documentation is required to enroll in specialization courses?,"Passport-sized photograph, copy of health insurance card, and proof of payment for enrollment."
What documents are required to enroll in a CFGM program?,"Passport-style photograph, copy of ID/NIE+passport, copy of health insurance card, proof of ESO diploma or other access documents to CFGM, among others."
What is needed to enroll in a CFGS course?,"Passport-style photograph, copy of ID, NIE+PASSPORT, health insurance card, among others."
What documentation is necessary to formalize enrollment in Bachillerato?,"Passport-style photograph, copy of ID, NIE+PASSPORT, health insurance card, proof of ESO diploma, among others."
What documents are required to formalize enrollment in specialization courses?,"Passport-style photograph, copy of health insurance card, and proof of payment for enrollment."

