Pregunta,Respuesta
¿Qué documentación se requiere para formalizar la matrícula en CFGM?,"Fotografía tipo carnet, copia del DNI/NIE + pasaporte, copia de la tarjeta sanitaria, resguardo del título de ESO u otros documentos de acceso a CFGM, entre otros."
¿Qué documentación es necesaria para formalizar la matrícula en un CFGS?,"Fotografía tipo carnet, copia del DNI, NIE + pasaporte, tarjeta sanitaria, entre otros."
¿Qué documentación se necesita para formalizar la matrícula en Bachillerato?,"Fotografía tipo carnet, copia del DNI, NIE + pasaporte, tarjeta sanitaria, resguardo del título de ESO, entre otros."
¿Qué documentación es necesaria para formalizar la matrícula en los cursos de especialización?,"Fotografía tipo carnet, copia de la tarjeta sanitaria y el resguardo de pago de la matrícula."
"¿Qué documentos se necesitan para formalizar la matrícula en un Ciclo Formativo de Grado Medio (CFGM)?","Fotografía tipo carnet, copia del DNI/NIE + pasaporte, copia de la tarjeta sanitaria, resguardo del título de ESO u otros documentos de acceso a CFGM, entre otros."
¿Cuál es la documentación requerida para formalizar la matrícula en un Ciclo Formativo de Grado Superior (CFGS)?,"Fotografía tipo carnet, copia del DNI, NIE + pasaporte, tarjeta sanitaria, entre otros."
¿Qué papeles se necesitan para formalizar la matrícula en Bachillerato?,"Fotografía tipo carnet, copia del DNI, NIE + pasaporte, tarjeta sanitaria, resguardo del título de ESO, entre otros."
¿Qué documentos son necesarios para inscribirse en los cursos de especialización?,"Fotografía tipo carnet, copia de la tarjeta sanitaria y el resguardo de pago de la matrícula."
¿Qué documentos se necesitan para formalizar la matrícula en un Ciclo Formativo de Grado Medio (CFGM)?,"Fotografía tipo carnet, copia del DNI/NIE + pasaporte, copia de la tarjeta sanitaria, resguardo del título de ESO u otros documentos de acceso a CFGM, entre otros."
¿Cuál es la documentación requerida para formalizar la matrícula en un Ciclo Formativo de Grado Superior (CFGS)?,"Fotografía tipo carnet, copia del DNI, NIE + pasaporte, tarjeta sanitaria, entre otros."
¿Qué papeles se necesitan para formalizar la matrícula en Bachillerato?,"Fotografía tipo carnet, copia del DNI, NIE + pasaporte, tarjeta sanitaria, resguardo del título de ESO, entre otros."
¿Qué documentos son necesarios para inscribirse en los cursos de especialización?,"Fotografía tipo carnet, copia de la tarjeta sanitaria y el resguardo de pago de la matrícula."
¿Cuáles son los documentos requeridos para inscribirse en un programa de CFGM?,"Fotografia tipo carnet, copia de DNI/NIE+pasaporte, copia de la targeta sanitaria, resguardo del título de ESO o otros documentos de acceso a CFGM, entre otros."
¿Qué se necesita para matricularse en un curso de CFGS?,"Fotografia tipo carnet, copia del DNI, NIE+PASAPORTE, targeta sanitaria, entre otros."
¿Cuál es la documentación necesaria para la inscripción en Bachillerato?,"Fotografia tipo carnet, copia del DNI, NIE+PASAPORTE, targeta sanitaria, resguardo del título de ESO, entre otros."
¿Qué documentos se requieren para formalizar la matrícula en cursos de especialización?,"Fotografia tipo carnet, copia de la targeta sanitaria y el resguardo de pago de la matrícula."


