Pregunta,Respuesta
¿Cuál es el horario de atención al público de Secretaría?,"Es de 10 a 13 horas"
¿Cuál es el horario de atención telefónica de Secretaría?,"Es de 12 a 14 horas"
¿Cuál es el número de teléfono del centro?,"977212836"
¿Cuál es el correo de atención de consultas de preinscripción?,"secretaria@vidalibarraquer.net"
¿Cuál es el correo de atención de consultas de matrícula?,"matricula@vidalibarraquer.net"
¿Dónde puedo encontrar toda la información de preinscripción y matrícula?,"https://preinscripcio.gencat.cat/ca/inici/"
¿Qué estudios se llevan a cabo en el centro?,"Puedes encontrar la información en esta página: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
¿Dónde puedo encontrar los horarios de los estudios del centro?,"Puedes encontrar la información en esta página: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
¿Cómo puedo solicitar un certificado de estudios?,"Puedes solicitar certificados por eSecretaría: https://www.vidalibarraquer.net/sv/"
¿Cómo puedo solicitar convalidaciones?,"Puedes solicitar convalidaciones por eSecretaría: https://www.vidalibarraquer.net/sv/"
¿Dónde puedo encontrar información sobre becas?,"Puedes encontrar información en la siguiente página: https://www.vidalibarraquer.net/index.php/secretaria1/beques"
¿Dónde puedo encontrar el calendario escolar?,"https://www.vidalibarraquer.net/index.php/alumnat/calendari-escolar"
¿El centro dispone de bolsa de trabajo?,"Sí, en la siguiente página puedes encontrar la información: https://www.vidalibarraquer.net/borsatreball/"
¿Dónde puedo encontrar información de la FCT (Formación en Centros de Trabajo)?,"https://www.vidalibarraquer.net/index.php/alumnat/fct"
¿Dónde puedo encontrar el horario de secretaría?,"https://www.vidalibarraquer.net/index.php/secretaria1/horari-de-secretaria"
¿Dónde puedo encontrar la afinidad entre familias profesionales?,"https://triaeducativa.gencat.cat/ca/fp/afinitat-families-professionals/"
¿Cuál es el horario de atención al público de Secretaría?,"Es de 10 a 13 horas"
¿Cuál es el horario de atención telefónica de Secretaría?,"Es de 12 a 14 horas"
¿Cuál es el número de teléfono del centro?,"977212836"
¿Cuál es el correo de atención de consultas de preinscripción?,"secretaria@vidalibarraquer.net"
¿Cuál es el correo de atención de consultas de matrícula?,"matricula@vidalibarraquer.net"
¿Dónde puedo encontrar toda la información de preinscripción y matrícula?,"https://preinscripcio.gencat.cat/ca/inici/"
¿Qué estudios se llevan a cabo en el centro?,"Puedes encontrar la información en esta página: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
¿Dónde puedo encontrar los horarios de los estudios del centro?,"Puedes encontrar la información en esta página: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
¿Cómo puedo solicitar un certificado de estudios?,"Puedes solicitar certificados por eSecretaría: https://www.vidalibarraquer.net/sv/"
¿Cómo puedo solicitar convalidaciones?,"Puedes solicitar convalidaciones por eSecretaría: https://www.vidalibarraquer.net/sv/"
¿Dónde puedo encontrar información sobre becas?,"Puedes encontrar información en la siguiente página: https://www.vidalibarraquer.net/index.php/secretaria1/beques"
¿Dónde puedo encontrar el calendario escolar?,"https://www.vidalibarraquer.net/index.php/alumnat/calendari-escolar"
¿El centro dispone de bolsa de trabajo?,"Sí, en la siguiente página puedes encontrar la información: https://www.vidalibarraquer.net/borsatreball/"
¿Dónde puedo encontrar información de la FCT (Formación en Centros de Trabajo)?,"https://www.vidalibarraquer.net/index.php/alumnat/fct"
¿Dónde puedo encontrar el horario de secretaría?,"https://www.vidalibarraquer.net/index.php/secretaria1/horari-de-secretaria"
¿Dónde puedo encontrar la afinidad entre familias profesionales?,"https://triaeducativa.gencat.cat/ca/fp/afinitat-families-professionals/"

