Pregunta,Respuesta
Period for submitting applications for CFGM,"From May 24th to May 30th, 2024."
When will the provisional list of accepted and excluded applications for CFGM be published?,"On June 28th, 2024."
When will the period for submitting claims about CFGM applications open?,"From June 28th to July 3rd, 2024."
What is the enrollment period for pre-registered students with assigned places in CFGM?,"From July 17th to July 22nd, 2024."
When will the list of admitted students in the second phase of CFGM admission be published?,"On July 31st, 2024."
What is the enrollment period for the second phase of CFGM admission?,"From September 2nd to September 6th, 2024."
What is the deadline for submitting pre-registration applications for CFGS?,"From May 24th to May 30th, 2024."
What is the enrollment period for pre-registered students with assigned places in CFGS?,"From July 15th to July 18th, 2024."
When will the list of applications with the provisional score for CFGS be published?,"On June 26th, 2024."
What is the deadline for submitting claims about the provisional score for CFGS?,"From June 26th to July 1st, 2024."
When will the definitive list of applications with the score for CFGS be published?,"On July 4th, 2024."
When will the list of admitted students for CFGS be published?,"On July 11th, 2024."
When will the list of admitted students for the second phase of CFGS admission be published?,"On July 31st, 2024."
What is the enrollment period for the second phase of admission for pre-registered students in CFGS?,"From September 2nd to September 6th, 2024."
What is the deadline for submitting pre-registration applications for Baccalaureate?,"From April 18th to April 25th, 2024."
What is the enrollment period for pre-registered students with assigned places in Baccalaureate?,"From June 21st to July 1st, 2024."
When will the list of applications with the provisional score for Baccalaureate be published?,"On May 17th, 2024."
What is the deadline for submitting claims about the provisional score for Baccalaureate?,"From May 17th to May 23rd, 2024."
When will the definitive list of applications with the score for Baccalaureate be published?,"On May 29th, 2024."
When will the list of admitted students in Baccalaureate be published?,"On June 20th, 2024."
What is the period for submitting applications for specialization courses?,"From June 28th to July 4th, 2024, from 12:00 to 13:00."
When will the provisional list of admitted students for specialization courses be published?,"On July 5th, 2024."
What is the deadline for submitting claims about the provisional list of admitted students?,"From July 5th to July 10th, 2024, until 13:00 hours."
When will the definitive list of admitted students be published?,"On July 10th, 2024, at 16:00 hours."
What is the period for in-person enrollment in specialization courses?,"From July 10th to July 15th, 2024, from 12:00 to 13:00."
