Pregunta,Respuesta
What is the public attention schedule of the Secretary's Office?,"It is from 10 AM to 1 PM."
What is the telephone attention schedule of the Secretary's Office?,"It is from 12 PM to 2 PM."
What is the phone number of the center?,"977212836"
What is the email address for pre-registration inquiries?,"secretaria@vidalibarraquer.net"
What is the email address for enrollment inquiries?,"matricula@vidalibarraquer.net"
Where can I find all the information about pre-registration and enrollment?,"https://preinscripcio.gencat.cat/ca/inici/"
What studies are carried out at the center?,"You can find the information on this page: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
Where can I find the schedules of the center's studies?,"You can find the information on this page: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
How can I request a certificate of studies?,"You can request certificates through eSecretaria: https://www.vidalibarraquer.net/sv/"
How can I request validations?,"You can request validations through eSecretaria: https://www.vidalibarraquer.net/sv/"
Where can I find information about scholarships?,"You can find information on the following page: https://www.vidalibarraquer.net/index.php/secretaria1/beques"
Where can I find the school calendar?,"https://www.vidalibarraquer.net/index.php/alumnat/calendari-escolar"
Does the center have a job bank?,"Yes, on the following page you can find the information: https://www.vidalibarraquer.net/borsatreball/"
Where can I find information about FCT (Workplace Training)?,"https://www.vidalibarraquer.net/index.php/alumnat/fct"
Where can I find the schedule of the secretary's office?,"https://www.vidalibarraquer.net/index.php/secretaria1/horari-de-secretaria"
Where can I find the affinity between professional families?,"https://triaeducativa.gencat.cat/ca/fp/afinitat-families-professionals/"
What is the public office hours of the Secretariat?,"It is from 10 am to 1 pm"
What is the telephone office hours of the Secretariat?,"It is from 12 pm to 2 pm"
What is the phone number of the center?,"977212836"
What is the email for pre-registration queries?,"secretaria@vidalibarraquer.net"
What is the email for registration queries?,"matricula@vidalibarraquer.net"
Where can I find all the pre-registration and registration information?,"https://preinscripcio.gencat.cat/ca/inici/"
What studies are carried out at the center?,"You can find the information on this page: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
Where can I find the schedules of the center's studies?,"You can find the information on this page: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
How can I request a certificate of studies?,"You can request certificates through eSecretariat: https://www.vidalibarraquer.net/sv/"
How can I request validations?,"You can request validations through eSecretariat: https://www.vidalibarraquer.net/sv/"
Where can I find information about scholarships?,"You can find information on the following page: https://www.vidalibarraquer.net/index.php/secretaria1/beques"
Where can I find the school calendar?,"https://www.vidalibarraquer.net/index.php/alumnat/calendari-escolar"
Does the center have a job board?,"Yes, you can find the information on the following page: https://www.vidalibarraquer.net/borsatreball/"
Where can I find information about the WBL (Work-Based Learning)?,"https://www.vidalibarraquer.net/index.php/alumnat/fct"
Where can I find the office hours of the Secretariat?,"https://www.vidalibarraquer.net/index.php/secretaria1/horari-de-secretaria"
Where can I find the affinity between professional families?,"https://triaeducativa.gencat.cat/ca/fp/afinitat-families-professionals/"

