Pregunta,Respuesta
Quin és l’horari d’atenció al públic de Secretaria?,"És de 10 a 13 hores"
Quin és l’horari d’atenció telefònica de Secretaria?,"És de 12 a 14 hores"
Quin és el número de telèfon del centre?,"977212836"
Quin és el correu d’atenció de consultes de preinscripció?,"secretaria@vidalibarraquer.net"
Quin és el correu d’atenció de consultes de matrícula?,"matricula@vidalibarraquer.net"
On puc trobar tota la informació de preinscripció i matrícula?,"https://preinscripcio.gencat.cat/ca/inici/"
Quins estudis es porten a terme en el centre?,"Podeu trobar la información en aquesta página: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
On puc trobar els horaris dels estudis del centre?,"Podeu trovar la información en aquesta página: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
Com puc demanar un certificat d’estudis?,"Podeu demanar certificats per eSecretaria: https://www.vidalibarraquer.net/sv/"
Com puc demanar convalidacions?,"Podeu demanar convalidacions per eSecretaria: https://www.vidalibarraquer.net/sv/"
On puc trobar informació de Beques?,"Podeu trobar informació en la següent pàgina: https://www.vidalibarraquer.net/index.php/secretaria1/beques"
On puc trobar el calendari escolar?,"https://www.vidalibarraquer.net/index.php/alumnat/calendari-escolar"
El centre disposa de borsa de treball?,"Sí, en la següent pàgina podreu trobar la informació: https://www.vidalibarraquer.net/borsatreball/"
On puc trobar informació de l’FCT?,"https://www.vidalibarraquer.net/index.php/alumnat/fct"
On puc trobar l’horari de secretaria?,"https://www.vidalibarraquer.net/index.php/secretaria1/horari-de-secretaria"
On puc trobar l’afinitat entre famílies professionals?,"https://triaeducativa.gencat.cat/ca/fp/afinitat-families-professionals/"
Quin és l'horari d'atenció al públic de Secretaria?,"És de 10 a 13 hores"
Quin és l'horari d'atenció telefònica de Secretaria?,"És de 12 a 14 hores"
Quin és el número de telèfon del centre?,"977212836"
Quin és el correu d'atenció de consultes de preinscripció?,"secretaria@vidalibarraquer.net"
Quin és el correu d'atenció de consultes de matrícula?,"matricula@vidalibarraquer.net"
On puc trobar tota la informació de preinscripció i matrícula?,"https://preinscripcio.gencat.cat/ca/inici/"
Quins estudis es porten a terme al centre?,"Pots trobar la informació en aquesta pàgina: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
On puc trobar els horaris dels estudis del centre?,"Pots trobar la informació en aquesta pàgina: https://www.vidalibarraquer.net/index.php/ofertaformativa/oferta-formativa"
Com puc sol·licitar un certificat d'estudis?,"Pots sol·licitar certificats per eSecretaria: https://www.vidalibarraquer.net/sv/"
Com puc sol·licitar convalidacions?,"Pots sol·licitar convalidacions per eSecretaria: https://www.vidalibarraquer.net/sv/"
On puc trobar informació sobre beques?,"Pots trobar informació a la següent pàgina: https://www.vidalibarraquer.net/index.php/secretaria1/beques"
On puc trobar el calendari escolar?,"https://www.vidalibarraquer.net/index.php/alumnat/calendari-escolar"
El centre disposa de borsa de treball?,"Sí, a la següent pàgina pots trobar la informació: https://www.vidalibarraquer.net/borsatreball/"
On puc trobar informació de la FCT (Formació en Centres de Treball)?,"https://www.vidalibarraquer.net/index.php/alumnat/fct"
On puc trobar l'horari de secretaria?,"https://www.vidalibarraquer.net/index.php/secretaria1/horari-de-secretaria"
On puc trobar l'afinitat entre famílies professionals?,"https://triaeducativa.gencat.cat/ca/fp/afinitat-families-professionals/"
