Pregunta,Respuesta
Quina documentació es requereix per formalitzar la matrícula en CFGM?,"Fotografia tipus carnet, còpia de DNI/NIE+passaport, còpia de la targeta sanitària, resguard del títol d'ESO o altres documents d'accés a CFGM, entre d'altres."
Quina documentació és necessària per formalitzar la matrícula en un CFGS?,"Fotografia tipus carnet, còpia del DNI, NIE+PASSAPORT, targeta sanitària, entre d'altres."
Quina documentació es necessita per formalitzar la matrícula en Batxillerat?,"Fotografia tipus carnet, còpia del DNI, NIE+PASSAPORT, targeta sanitària, resguard del títol d'ESO, entre d'altres."
Quina documentació és necessària per formalitzar la matrícula en els cursos d’especialització?,"Fotografia tipus carnet, còpia de la targeta sanitària i el resguard de pagament de la matrícula."
Quina documentació es requereix per formalitzar la matrícula en un Cicle Formatiu de Grau Mitjà (CFGM)?,"Fotografia de carnet, còpia del DNI/NIE + passaport, còpia de la targeta sanitària, resguard del títol de l'ESO o altres documents d'accés a CFGM, entre altres."
Quina documentació és necessària per formalitzar la matrícula en un Cicle Formatiu de Grau Superior (CFGS)?,"Fotografia de carnet, còpia del DNI, NIE + passaport, targeta sanitària, entre altres."
Quina documentació es necessita per formalitzar la matrícula a Batxillerat?,"Fotografia de carnet, còpia del DNI, NIE + passaport, targeta sanitària, resguard del títol de l'ESO, entre altres."
Quina documentació es requereix per inscriure's en els cursos de especialització?,"Fotografia de carnet, còpia de la targeta sanitària i el resguard de pagament de la matrícula."
Quins són els documents necessaris per inscriure's en un programa de CFGM?,"Fotografia tipus carnet, còpia de DNI/NIE+passaport, còpia de la targeta sanitària, resguard del títol d'ESO o altres documents d'accés a CFGM, entre d'altres."
Què es necessita per matricular-se en un curs de CFGS?,"Fotografia tipus carnet, còpia del DNI, NIE+PASSAPORT, targeta sanitària, entre d'altres."
Quina documentació és necessària per formalitzar la matrícula en Batxillerat?,"Fotografia tipus carnet, còpia del DNI, NIE+PASSAPORT, targeta sanitària, resguard del títol d'ESO, entre d'altres."
Quina documentació es necessita per formalitzar la matrícula en els cursos d’especialització?,"Fotografia tipus carnet, còpia de la targeta sanitària i el resguard de pagament de la matrícula."

