Pregunta,Respuesta
¿Qué sucede si un alumno no realiza la matrícula en CFGM dentro del período establecido?,"Perderá la plaza asignada."
¿Qué ocurre si no estás incluido en las listas de admitidos en la primera fase de admisión de CFGM?,"Deberás estar al tanto para solicitar las plazas para la segunda fase de admisión."
¿Qué pasa si no tengo plaza en la segunda fase de admisión?,"Se debe completar un formulario y el centro informará si hay vacantes disponibles después del período oficial de preinscripción y matrícula en CFGM el 6 de septiembre."
¿Cuáles son los criterios de prioridad para el acceso a CFGM según la nueva ley de Formación Profesional?,"En general, se considera la calificación media obtenida del requisito que permite el acceso."
¿Cuáles son los criterios de prioridad para el acceso al ciclo formativo de grado superior según la nueva ley de Formación Profesional?,"En general, se considera la calificación media obtenida del requisito que permite el acceso."
¿Cuál es la política de ordenación y asignación de plazas para los ciclos formativos de grado medio (CFPM) y grado superior (CFPS)?,"La política de ordenación y asignación de plazas para los CFGM y CFGS se basa principalmente en la calificación media de los solicitantes."
¿Qué pasa si no he hecho preinscripción?,"Podrás participar en la segunda fase de admisión de vacantes."
¿Cuál es el procedimiento si un estudiante tiene dificultades para completar la preinscripción en línea de CFGM o CFGS?,"Puede pasar por el centro del 25 al 30 de mayo de 12:00 a 14:00 horas."
¿Cuál es el precio de matrícula de CFGM?,"El precio de material, servicios y seguro para todo el curso es de 60 €."
¿Qué servicios incluye el precio de matrícula?,"Internet, software Office 365, entorno virtual de aprendizaje,...."
¿Cuál es el procedimiento en caso de tener dificultades para completar la preinscripción en línea?,"Se puede pasar por el centro del 22 al 25 de abril de 12:00 a 14:00 horas."
¿Cuál es el precio total del curso para los menores de 28 años?,"El precio de material, servicios y seguro para todo el curso es de 60 €."
¿Cuál es el precio de matrícula de CFGS?,"El precio de material, servicios y seguro para todo el curso es de 60 € y 360 € de precio público sin bonificaciones."
¿Qué bonificaciones hay en CFGS?,"Bonificación del 50% del importe para: miembros de familia numerosa de categoría general y miembros de familias monoparentales. Exención del 100% del pago para: miembros de familia numerosa de categoría especial, víctimas del terrorismo (y sus cónyuges e hijos e hijas), personas con discapacidad igual o superior al 33% e infantes o adolescentes en acogimiento familiar."
¿Qué bonificación hay en el precio de matrícula de CFGM?,"No hay bonificación."
¿Qué bonificación hay en el precio de matrícula de Bachillerato?,"No hay bonificación."
¿Cuáles son los criterios de prioridad para la asignación de plaza en los cursos de especialización?,"La calificación media del ciclo de formación profesional que permite el acceso."
¿Qué pasa en caso de empate en las puntuaciones de los alumnos de los cursos de especialización?,"Se realiza un sorteo desempate en Secretaría el día 5 de julio de 2024 a las 13:00 horas."
¿Es posible hacer movilidad internacional?,"Sí, en todos los estudios de CFGM y CFGS."
¿Es posible hacer DUAL?,"Sí, en todos los estudios de CFGM y CFGS."
¿Cuáles son las tres vías de acceso al ciclo formativo de grado medio?,"ESO y el técnico de grado básico de FP (80%), CAM y pruebas de acceso a grado medio (15%), Técnico de grado medio y superior de FP (5%)."
¿Cuáles son las vías de acceso a CFGS?,"Del bachillerato y el técnico de grado medio de FP (80%), CAS y pruebas de acceso a grado superior (15%), Técnico superior de FP (5%)."
